13:42:40|1每日.py|每日脚本开始
13:42:41|const.py|backMainProcess 返回主页面开始
13:42:43|const.py|backMainProcess 返回主页面结束
13:42:43|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
13:42:43|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
13:42:43|util.py|click 729 244
13:42:45|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
13:44:11|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
13:44:11|util.py|click 487 413
13:44:13|util.py|getNumbers 识数字开始
13:44:14|util.py|getNumbers 识数字结束
13:44:14|util.py|click 55 288
13:44:15|util.py|click 353 305
13:44:16|util.py|click 503 134
13:44:17|const.py|anchorProcess 出击步骤开始
13:44:18|const.py|今日不再提示判断 开始
13:44:19|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
13:44:19|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
13:44:20|util.py|click 770 429
13:44:20|const.py|自律 开始
13:44:21|const.py|船坞已满判断 开始
13:44:32|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
13:45:34|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
13:45:34|const.py|自律 结束
13:45:36|util.py|click 135 424
13:45:37|util.py|click 684 308
13:45:39|const.py|打捞到sr或ssr判断 开始
13:45:39|util.py|click 684 308
13:45:40|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
13:45:40|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
13:45:40|util.py|click 733 445
13:45:43|const.py|作战失败判断 开始
13:45:47|const.py|紧急委托判断 开始
13:45:48|const.py|anchorProcess 出击步骤结束
13:45:48|util.py|click 503 134
13:45:49|const.py|anchorProcess 出击步骤开始
13:45:50|const.py|今日不再提示判断 开始
13:45:50|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
13:45:51|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
13:45:52|util.py|click 770 429
13:45:52|const.py|自律 开始
13:45:53|const.py|船坞已满判断 开始
13:46:04|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
13:47:05|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
13:47:05|const.py|自律 结束
13:47:06|util.py|click 135 424
13:47:07|util.py|click 684 308
13:47:09|const.py|打捞到sr或ssr判断 开始
13:47:10|util.py|click 684 308
13:47:10|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
13:47:11|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
13:47:11|util.py|click 733 445
13:47:14|const.py|作战失败判断 开始
13:47:17|const.py|紧急委托判断 开始
13:47:18|const.py|anchorProcess 出击步骤结束
13:47:18|util.py|click 503 134
13:47:19|const.py|anchorProcess 出击步骤开始
13:47:20|const.py|今日不再提示判断 开始
13:47:21|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
13:47:21|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
13:47:22|util.py|click 770 429
13:47:22|const.py|自律 开始
13:47:23|const.py|船坞已满判断 开始
13:47:34|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
13:48:36|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
13:48:36|const.py|自律 结束
13:48:37|util.py|click 135 424
13:48:38|util.py|click 684 308
13:48:40|const.py|打捞到sr或ssr判断 开始
13:48:40|util.py|click 684 308
13:48:41|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
13:48:41|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
13:48:41|util.py|click 733 445
13:48:45|const.py|作战失败判断 开始
13:48:48|const.py|紧急委托判断 开始
13:48:49|const.py|anchorProcess 出击步骤结束
13:48:49|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
13:48:49|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
13:48:50|util.py|click 38 33
13:48:51|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
13:48:52|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
13:48:53|util.py|click 38 33
13:48:53|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
13:48:54|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
13:48:54|util.py|click 487 413
13:48:57|util.py|getNumbers 识数字开始
13:48:58|util.py|getNumbers 识数字结束
13:48:58|util.py|click 185 295
13:48:59|util.py|click 353 305
13:49:00|util.py|click 503 134
13:49:01|const.py|anchorProcess 出击步骤开始
13:49:02|const.py|今日不再提示判断 开始
13:49:03|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
13:49:03|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
13:49:04|util.py|click 770 429
13:49:05|const.py|自律 开始
13:49:05|const.py|船坞已满判断 开始
13:49:16|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
13:50:34|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
13:50:34|const.py|自律 结束
13:50:36|util.py|click 135 424
13:50:37|util.py|click 684 308
13:50:39|const.py|打捞到sr或ssr判断 开始
13:50:39|util.py|click 684 308
13:50:40|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
13:50:40|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
13:50:40|util.py|click 733 445
13:50:43|const.py|作战失败判断 开始
13:50:47|const.py|紧急委托判断 开始
13:50:48|const.py|anchorProcess 出击步骤结束
13:50:48|util.py|click 503 134
13:50:49|const.py|anchorProcess 出击步骤开始
13:50:50|const.py|今日不再提示判断 开始
13:50:50|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
13:50:51|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
13:50:52|util.py|click 770 429
13:50:52|const.py|自律 开始
13:50:53|const.py|船坞已满判断 开始
13:51:04|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
13:52:22|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
13:52:22|const.py|自律 结束
13:52:23|util.py|click 135 424
13:52:24|util.py|click 684 308
13:52:26|const.py|打捞到sr或ssr判断 开始
13:52:27|util.py|click 684 308
13:52:27|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
13:52:28|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
13:52:28|util.py|click 733 445
13:52:31|const.py|作战失败判断 开始
13:52:35|const.py|紧急委托判断 开始
13:52:35|const.py|anchorProcess 出击步骤结束
13:52:35|util.py|click 503 134
13:52:36|const.py|anchorProcess 出击步骤开始
13:52:37|const.py|今日不再提示判断 开始
13:52:38|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
13:52:38|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
13:52:39|util.py|click 770 429
13:52:39|const.py|自律 开始
13:52:40|const.py|船坞已满判断 开始
13:52:51|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
13:54:09|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
13:54:09|const.py|自律 结束
13:54:10|util.py|click 135 424
13:54:11|util.py|click 684 308
13:54:13|const.py|打捞到sr或ssr判断 开始
13:54:14|util.py|click 684 308
13:54:14|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
13:54:15|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
13:54:15|util.py|click 733 445
13:54:18|const.py|作战失败判断 开始
13:54:21|const.py|紧急委托判断 开始
13:54:22|const.py|anchorProcess 出击步骤结束
13:54:22|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
13:54:23|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
13:54:23|util.py|click 38 33
