13:10:06|1每日.py|每日脚本开始
13:10:08|const.py|backMainProcess 返回主页面开始
13:10:10|const.py|backMainProcess 返回主页面结束
13:10:10|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
13:10:11|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
13:10:11|util.py|click 729 244
13:10:12|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
13:10:14|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
13:10:14|util.py|click 487 413
13:10:15|util.py|getNumbers 识数字开始
13:10:17|util.py|getNumbers 识数字结束
13:10:17|util.py|click 353 305
13:10:18|util.py|click 503 134
13:10:19|const.py|anchorProcess 出击步骤开始
13:10:20|const.py|今日不再提示判断 开始
13:10:22|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
13:10:23|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
13:10:24|util.py|click 770 429
13:10:24|const.py|自律 开始
13:10:25|const.py|船坞已满判断 开始
13:10:37|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
13:11:07|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
13:11:07|const.py|自律 结束
13:11:08|util.py|click 181 426
13:11:09|util.py|click 684 308
13:11:12|const.py|打捞到sr或ssr判断 开始
13:11:13|util.py|click 684 308
13:11:13|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
13:11:14|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
13:11:14|util.py|click 733 445
13:11:18|const.py|作战失败判断 开始
13:11:22|const.py|紧急委托判断 开始
13:11:23|const.py|anchorProcess 出击步骤结束
13:11:23|util.py|click 503 134
13:11:24|const.py|anchorProcess 出击步骤开始
13:11:25|const.py|今日不再提示判断 开始
13:11:26|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
13:11:27|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
13:11:28|util.py|click 770 429
13:11:28|const.py|自律 开始
13:11:29|const.py|船坞已满判断 开始
13:11:41|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
13:12:11|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
13:12:11|const.py|自律 结束
13:12:12|util.py|click 181 426
13:12:14|util.py|click 684 308
13:12:16|const.py|打捞到sr或ssr判断 开始
13:12:18|util.py|click 684 308
13:12:19|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
13:12:20|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
13:12:20|util.py|click 733 445
13:12:23|const.py|作战失败判断 开始
13:12:28|const.py|紧急委托判断 开始
13:12:29|const.py|anchorProcess 出击步骤结束
13:12:29|util.py|click 503 134
13:12:31|const.py|anchorProcess 出击步骤开始
13:12:32|const.py|今日不再提示判断 开始
13:12:33|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
13:12:34|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
13:12:35|util.py|click 770 429
13:12:36|const.py|自律 开始
13:12:36|const.py|船坞已满判断 开始
13:12:49|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
13:13:18|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
13:13:18|const.py|自律 结束
13:13:19|util.py|click 181 426
13:13:21|util.py|click 684 308
13:13:23|const.py|打捞到sr或ssr判断 开始
13:13:24|util.py|click 684 308
13:13:25|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
