18:53:56|1每日.py|每日脚本开始
18:53:57|const.py|backMainProcess 返回主页面开始
18:53:59|const.py|backMainProcess 返回主页面结束
18:53:59|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
18:54:00|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
18:54:00|util.py|click 729 244
18:54:01|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
18:54:03|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
18:54:03|util.py|click 487 413
18:54:04|util.py|getNumbers 识数字开始
18:54:06|util.py|getNumbers 识数字结束
18:54:06|util.py|click 185 295
18:54:07|util.py|click 353 305
18:54:09|util.py|click 503 134
18:54:10|const.py|anchorProcess 出击步骤开始
18:54:11|const.py|今日不再提示判断 开始
18:54:12|util.py|click 603 109
18:54:12|const.py|今日不再提示
18:54:12|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
18:54:13|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
18:54:14|util.py|click 770 429
18:54:15|const.py|自律 开始
18:54:16|const.py|船坞已满判断 开始
18:54:28|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
18:55:47|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
18:55:47|const.py|自律 结束
18:55:48|util.py|click 181 426
18:55:50|util.py|click 684 308
18:55:52|const.py|打捞到sr或ssr判断 开始
18:55:53|util.py|click 684 308
18:55:53|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
18:55:55|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
18:55:55|util.py|click 733 445
18:55:58|const.py|作战失败判断 开始
18:56:02|const.py|紧急委托判断 开始
18:56:03|const.py|anchorProcess 出击步骤结束
18:56:03|util.py|click 503 134
18:56:04|const.py|anchorProcess 出击步骤开始
18:56:05|const.py|今日不再提示判断 开始
18:56:06|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
18:56:07|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
18:56:08|util.py|click 770 429
18:56:08|const.py|自律 开始
18:56:09|const.py|船坞已满判断 开始
18:56:21|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
18:57:39|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
18:57:39|const.py|自律 结束
18:57:40|util.py|click 181 426
18:57:42|util.py|click 684 308
18:57:44|const.py|打捞到sr或ssr判断 开始
18:57:45|util.py|click 684 308
18:57:46|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
18:57:47|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
18:57:47|util.py|click 733 445
18:57:51|const.py|作战失败判断 开始
18:57:55|const.py|紧急委托判断 开始
18:57:56|const.py|anchorProcess 出击步骤结束
18:57:56|util.py|click 503 134
18:57:57|const.py|anchorProcess 出击步骤开始
18:57:58|const.py|今日不再提示判断 开始
18:57:59|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
18:58:00|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
18:58:01|util.py|click 770 429
18:58:02|const.py|自律 开始
18:58:02|const.py|船坞已满判断 开始
18:58:14|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
18:59:30|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
18:59:30|const.py|自律 结束
18:59:32|util.py|click 181 426
18:59:33|util.py|click 684 308
18:59:35|const.py|打捞到sr或ssr判断 开始
18:59:36|util.py|click 684 308
18:59:36|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
18:59:37|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
18:59:37|util.py|click 733 445
18:59:41|const.py|作战失败判断 开始
18:59:45|const.py|紧急委托判断 开始
18:59:46|const.py|anchorProcess 出击步骤结束
18:59:46|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
18:59:51|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
18:59:52|util.py|click 38 33
18:59:52|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
18:59:55|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
18:59:56|util.py|click 38 33
18:59:56|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
18:59:59|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
18:59:59|util.py|click 487 413
19:00:01|util.py|getNumbers 识数字开始
19:00:03|util.py|getNumbers 识数字结束
19:00:03|util.py|click 353 305
19:00:04|util.py|click 503 134
19:00:06|const.py|anchorProcess 出击步骤开始
19:00:06|const.py|今日不再提示判断 开始
19:00:07|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:00:08|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:00:09|util.py|click 770 429
19:00:10|const.py|自律 开始
19:00:10|const.py|船坞已满判断 开始
19:00:22|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:00:51|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:00:51|const.py|自律 结束
19:00:53|util.py|click 181 426
19:00:54|util.py|click 684 308
19:00:56|const.py|打捞到sr或ssr判断 开始
19:00:58|util.py|click 684 308
19:00:58|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:00:59|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:00:59|util.py|click 733 445
19:01:03|const.py|作战失败判断 开始
19:01:06|const.py|紧急委托判断 开始
19:01:07|const.py|anchorProcess 出击步骤结束
