00:02:33|1每日.py|每日脚本开始
00:02:34|const.py|backMainProcess 返回主页面开始
00:02:36|const.py|backMainProcess 返回主页面结束
00:02:36|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
00:02:37|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
00:02:37|util.py|click 729 244
00:02:38|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
00:02:40|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
00:02:40|util.py|click 487 413
00:02:41|util.py|getNumbers 识数字开始
00:02:43|util.py|getNumbers 识数字结束
00:02:43|util.py|click 55 288
00:02:45|util.py|click 353 305
00:02:46|util.py|click 503 134
00:02:48|const.py|anchorProcess 出击步骤开始
00:02:48|const.py|今日不再提示判断 开始
00:02:50|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
00:02:51|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
00:02:52|util.py|click 770 429
00:02:53|const.py|自律 开始
00:02:54|const.py|船坞已满判断 开始
00:03:06|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
00:04:10|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
00:04:10|const.py|自律 结束
00:04:11|util.py|click 181 426
00:04:13|util.py|click 684 308
00:04:16|const.py|打捞到sr或ssr判断 开始
00:04:17|util.py|click 684 308
00:04:18|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
00:04:19|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
00:04:19|util.py|click 733 445
00:04:23|const.py|作战失败判断 开始
00:04:27|const.py|紧急委托判断 开始
00:04:28|const.py|anchorProcess 出击步骤结束
00:04:28|util.py|click 503 134
00:04:29|const.py|anchorProcess 出击步骤开始
00:04:30|const.py|今日不再提示判断 开始
00:04:31|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
00:04:32|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
00:04:33|util.py|click 770 429
00:04:33|const.py|自律 开始
00:04:34|const.py|船坞已满判断 开始
00:04:46|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
00:05:49|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
00:05:49|const.py|自律 结束
00:05:50|util.py|click 181 426
00:05:52|util.py|click 684 308
00:05:54|const.py|打捞到sr或ssr判断 开始
00:05:55|util.py|click 684 308
00:05:56|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
00:05:56|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
00:05:56|util.py|click 733 445
00:06:00|const.py|作战失败判断 开始
