19:09:27|1每日.py|每日脚本开始
19:09:29|const.py|backMainProcess 返回主页面开始
19:09:32|const.py|backMainProcess 返回主页面结束
19:09:32|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
19:09:33|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
19:09:33|util.py|click 729 244
19:09:35|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
19:09:36|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
19:09:36|util.py|click 487 413
19:09:37|util.py|getNumbers 识数字开始
19:09:39|util.py|getNumbers 识数字结束
19:09:39|util.py|click 55 288
19:09:41|util.py|click 353 305
19:09:42|util.py|click 503 134
19:09:44|const.py|anchorProcess 出击步骤开始
19:09:45|const.py|今日不再提示判断 开始
19:09:46|util.py|click 603 109
19:09:47|const.py|今日不再提示
19:09:47|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:09:49|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:09:49|util.py|click 770 429
19:09:50|const.py|自律 开始
19:09:51|const.py|船坞已满判断 开始
19:10:04|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:11:09|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:11:09|const.py|自律 结束
19:11:10|util.py|click 181 426
19:11:11|util.py|click 684 308
19:11:14|const.py|打捞到sr或ssr判断 开始
19:11:15|util.py|click 684 308
19:11:16|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:11:17|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:11:17|util.py|click 733 445
19:11:21|const.py|作战失败判断 开始
19:11:25|const.py|紧急委托判断 开始
19:11:26|const.py|anchorProcess 出击步骤结束
19:11:26|util.py|click 503 134
19:11:27|const.py|anchorProcess 出击步骤开始
19:11:28|const.py|今日不再提示判断 开始
19:11:30|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:11:31|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:11:32|util.py|click 770 429
19:11:32|const.py|自律 开始
19:11:33|const.py|船坞已满判断 开始
19:11:45|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:12:49|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:12:49|const.py|自律 结束
19:12:51|util.py|click 181 426
19:12:52|util.py|click 684 308
19:12:55|const.py|打捞到sr或ssr判断 开始
19:12:56|util.py|click 684 308
19:12:57|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:12:58|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:12:58|util.py|click 733 445
19:13:02|const.py|作战失败判断 开始
19:13:06|const.py|紧急委托判断 开始
19:13:07|const.py|anchorProcess 出击步骤结束
19:13:07|util.py|click 503 134
19:13:08|const.py|anchorProcess 出击步骤开始
19:13:09|const.py|今日不再提示判断 开始
19:13:11|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:13:12|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:13:13|util.py|click 770 429
19:13:14|const.py|自律 开始
19:13:14|const.py|船坞已满判断 开始
19:13:27|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:14:29|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:14:29|const.py|自律 结束
19:14:31|util.py|click 181 426
19:14:32|util.py|click 684 308
19:14:34|const.py|打捞到sr或ssr判断 开始
19:14:36|util.py|click 684 308
19:14:36|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:14:38|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:14:38|util.py|click 733 445
19:14:41|const.py|作战失败判断 开始
19:14:45|const.py|紧急委托判断 开始
19:14:47|const.py|anchorProcess 出击步骤结束
19:14:47|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
19:14:48|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
19:14:49|util.py|click 38 33
19:14:49|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
19:14:51|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
19:14:52|util.py|click 38 33
19:14:53|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
19:14:55|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
19:14:55|util.py|click 487 413
19:14:58|util.py|getNumbers 识数字开始
19:15:00|util.py|getNumbers 识数字结束
19:15:00|util.py|click 353 305
19:15:02|util.py|click 503 134
19:15:03|const.py|anchorProcess 出击步骤开始
19:15:04|const.py|今日不再提示判断 开始
19:15:06|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:15:07|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:15:08|util.py|click 770 429
19:15:09|const.py|自律 开始
19:15:09|const.py|船坞已满判断 开始
19:15:22|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:15:52|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:15:52|const.py|自律 结束
19:15:54|util.py|click 181 426
19:15:55|util.py|click 684 308
19:15:57|const.py|打捞到sr或ssr判断 开始
19:15:59|util.py|click 684 308
19:15:59|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:16:02|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:16:02|util.py|click 733 445
19:16:06|const.py|作战失败判断 开始
19:16:11|const.py|紧急委托判断 开始
19:16:12|const.py|anchorProcess 出击步骤结束
19:16:12|util.py|click 503 134
19:16:13|const.py|anchorProcess 出击步骤开始
19:16:14|const.py|今日不再提示判断 开始
19:16:15|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:16:16|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:16:17|util.py|click 770 429
19:16:17|const.py|自律 开始
19:16:18|const.py|船坞已满判断 开始
19:16:30|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:16:58|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:16:58|const.py|自律 结束
19:17:00|util.py|click 181 426
19:17:01|util.py|click 684 308
19:17:03|const.py|打捞到sr或ssr判断 开始
19:17:04|util.py|click 684 308
19:17:05|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:17:06|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:17:06|util.py|click 733 445
19:17:09|const.py|作战失败判断 开始
19:17:13|const.py|紧急委托判断 开始
19:17:14|const.py|anchorProcess 出击步骤结束
19:17:14|util.py|click 503 134
19:17:15|const.py|anchorProcess 出击步骤开始
19:17:16|const.py|今日不再提示判断 开始
19:17:17|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:17:18|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:17:19|util.py|click 770 429
19:17:19|const.py|自律 开始
19:17:20|const.py|船坞已满判断 开始
19:17:32|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:18:01|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:18:01|const.py|自律 结束
19:18:02|util.py|click 181 426
19:18:03|util.py|click 684 308
19:18:06|const.py|打捞到sr或ssr判断 开始
19:18:07|util.py|click 684 308
19:18:07|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:18:08|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:18:08|util.py|click 733 445
19:18:12|const.py|作战失败判断 开始
19:18:16|const.py|紧急委托判断 开始
19:18:17|const.py|anchorProcess 出击步骤结束
19:18:17|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
19:18:17|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
19:18:18|util.py|click 38 33
19:18:20|const.py|backMainProcess 返回主页面开始
19:18:22|util.py|click 838 25
19:18:27|2演习.py|演习脚本开始
19:18:28|const.py|backMainProcess 返回主页面开始
19:18:30|const.py|backMainProcess 返回主页面结束
19:18:30|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
19:18:31|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
19:18:31|util.py|click 729 244
19:18:32|util.py|findPicLoop 循环找图开始 ./public/bmp/exercise.jpg
19:18:33|util.py|findPicLoop 循环找图结束 ./public/bmp/exercise.jpg
19:18:33|util.py|click 700 413
19:18:35|util.py|getNumbers 识数字开始
19:18:37|util.py|getNumbers 识数字结束
19:18:37|util.py|getNumbers 识数字开始
19:18:38|util.py|getNumbers 识数字结束
19:18:38|util.py|getNumbers 识数字开始
19:18:40|util.py|getNumbers 识数字结束
19:18:40|util.py|getNumbers 识数字开始
19:18:41|util.py|getNumbers 识数字结束
19:18:41|util.py|getNumbers 识数字开始
19:18:42|util.py|getNumbers 识数字结束
19:18:42|util.py|click 322 173
19:18:43|util.py|findPicLoop 循环找图开始 ./public/bmp/start excise.jpg
19:18:44|util.py|findPicLoop 循环找图结束 ./public/bmp/start excise.jpg
19:18:44|util.py|click 433 384
19:18:45|const.py|anchorProcess 出击步骤开始
19:18:46|const.py|今日不再提示判断 开始
19:18:47|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:18:48|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:18:49|util.py|click 770 429
19:18:50|const.py|自律 开始
19:18:50|const.py|船坞已满判断 开始
19:19:03|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:19:12|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:19:12|const.py|自律 结束
19:19:14|util.py|click 181 426
19:19:15|util.py|click 684 308
19:19:17|const.py|打捞到sr或ssr判断 开始
19:19:18|util.py|click 684 308
19:19:18|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:19:19|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:19:19|util.py|click 733 445
19:19:23|const.py|作战失败判断 开始
19:19:27|const.py|紧急委托判断 开始
19:19:28|const.py|anchorProcess 出击步骤结束
19:19:29|util.py|getNumbers 识数字开始
19:19:30|util.py|getNumbers 识数字结束
19:19:30|util.py|getNumbers 识数字开始
19:19:31|util.py|getNumbers 识数字结束
19:19:31|util.py|getNumbers 识数字开始
19:19:33|util.py|getNumbers 识数字结束
19:19:33|util.py|getNumbers 识数字开始
19:19:34|util.py|getNumbers 识数字结束
19:19:34|util.py|getNumbers 识数字开始
19:19:36|util.py|getNumbers 识数字结束
19:19:36|util.py|click 322 173
19:19:37|util.py|findPicLoop 循环找图开始 ./public/bmp/start excise.jpg
19:19:37|util.py|findPicLoop 循环找图结束 ./public/bmp/start excise.jpg
19:19:37|util.py|click 433 384
19:19:38|const.py|anchorProcess 出击步骤开始
19:19:39|const.py|今日不再提示判断 开始
19:19:40|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:19:41|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:19:42|util.py|click 770 429
19:19:42|const.py|自律 开始
19:19:43|const.py|船坞已满判断 开始
19:19:55|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:20:03|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:20:03|const.py|自律 结束
19:20:04|util.py|click 181 426
19:20:06|util.py|click 684 308
19:20:08|const.py|打捞到sr或ssr判断 开始
19:20:09|util.py|click 684 308
19:20:09|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:20:10|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:20:10|util.py|click 733 445
19:20:14|const.py|作战失败判断 开始
19:20:18|const.py|紧急委托判断 开始
19:20:18|const.py|anchorProcess 出击步骤结束
19:20:19|util.py|getNumbers 识数字开始
19:20:21|util.py|getNumbers 识数字结束
19:20:21|util.py|getNumbers 识数字开始
19:20:22|util.py|getNumbers 识数字结束
19:20:22|util.py|getNumbers 识数字开始
19:20:23|util.py|getNumbers 识数字结束
19:20:23|util.py|getNumbers 识数字开始
19:20:24|util.py|getNumbers 识数字结束
19:20:24|util.py|getNumbers 识数字开始
19:20:26|util.py|getNumbers 识数字结束
19:20:26|util.py|findPicLoop 循环找图开始 ./public/bmp/new opponent.jpg
19:20:27|util.py|findPicLoop 循环找图结束 ./public/bmp/new opponent.jpg
19:20:27|util.py|click 765 244
19:20:33|util.py|getNumbers 识数字开始
19:20:34|util.py|getNumbers 识数字结束
19:20:34|util.py|getNumbers 识数字开始
19:20:36|util.py|getNumbers 识数字结束
19:20:36|util.py|getNumbers 识数字开始
19:20:37|util.py|getNumbers 识数字结束
19:20:37|util.py|getNumbers 识数字开始
19:20:38|util.py|getNumbers 识数字结束
19:20:38|util.py|click 654 173
19:20:39|util.py|findPicLoop 循环找图开始 ./public/bmp/start excise.jpg
19:20:40|util.py|findPicLoop 循环找图结束 ./public/bmp/start excise.jpg
19:20:40|util.py|click 433 384
19:20:41|const.py|anchorProcess 出击步骤开始
19:20:42|const.py|今日不再提示判断 开始
19:20:43|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:20:44|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:20:45|util.py|click 770 429
19:20:45|const.py|自律 开始
19:20:46|const.py|船坞已满判断 开始
19:20:58|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:21:25|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:21:25|const.py|自律 结束
19:21:26|util.py|click 181 426
19:21:27|util.py|click 684 308
19:21:29|const.py|打捞到sr或ssr判断 开始
19:21:30|util.py|click 684 308
19:21:31|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:21:32|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:21:32|util.py|click 733 445
19:21:35|const.py|作战失败判断 开始
19:21:36|const.py|作战失败
19:21:36|util.py|click 424 415
19:21:40|const.py|紧急委托判断 开始
19:21:41|const.py|anchorProcess 出击步骤结束
19:21:42|util.py|getNumbers 识数字开始
19:21:43|util.py|getNumbers 识数字结束
19:21:43|util.py|getNumbers 识数字开始
19:21:44|util.py|getNumbers 识数字结束
19:21:44|util.py|getNumbers 识数字开始
19:21:46|util.py|getNumbers 识数字结束
19:21:46|util.py|getNumbers 识数字开始
19:21:47|util.py|getNumbers 识数字结束
19:21:47|util.py|getNumbers 识数字开始
19:21:48|util.py|getNumbers 识数字结束
19:21:48|util.py|click 487 175
19:21:49|util.py|findPicLoop 循环找图开始 ./public/bmp/start excise.jpg
19:21:50|util.py|findPicLoop 循环找图结束 ./public/bmp/start excise.jpg
19:21:50|util.py|click 433 384
19:21:51|const.py|anchorProcess 出击步骤开始
19:21:51|const.py|今日不再提示判断 开始
19:21:53|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:21:54|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:21:54|util.py|click 770 429
19:21:55|const.py|自律 开始
19:21:56|const.py|船坞已满判断 开始
19:22:08|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:22:23|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:22:23|const.py|自律 结束
19:22:25|util.py|click 181 426
19:22:26|util.py|click 684 308
19:22:28|const.py|打捞到sr或ssr判断 开始
19:22:29|util.py|click 684 308
19:22:30|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:22:30|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:22:30|util.py|click 733 445
19:22:34|const.py|作战失败判断 开始
19:22:38|const.py|紧急委托判断 开始
19:22:39|const.py|anchorProcess 出击步骤结束
19:22:40|util.py|getNumbers 识数字开始
19:22:41|util.py|getNumbers 识数字结束
19:22:41|util.py|getNumbers 识数字开始
19:22:42|util.py|getNumbers 识数字结束
19:22:42|util.py|getNumbers 识数字开始
19:22:44|util.py|getNumbers 识数字结束
19:22:44|util.py|getNumbers 识数字开始
19:22:45|util.py|getNumbers 识数字结束
19:22:45|util.py|getNumbers 识数字开始
19:22:46|util.py|getNumbers 识数字结束
19:22:46|util.py|click 654 173
19:22:47|util.py|findPicLoop 循环找图开始 ./public/bmp/start excise.jpg
19:22:48|util.py|findPicLoop 循环找图结束 ./public/bmp/start excise.jpg
19:22:48|util.py|click 433 384
19:22:49|const.py|anchorProcess 出击步骤开始
19:22:50|const.py|今日不再提示判断 开始
19:22:51|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:22:53|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:22:54|util.py|click 770 429
19:22:54|const.py|自律 开始
19:22:55|const.py|船坞已满判断 开始
19:23:07|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:23:31|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:23:31|const.py|自律 结束
19:23:32|util.py|click 181 426
19:23:33|util.py|click 684 308
19:23:36|const.py|打捞到sr或ssr判断 开始
19:23:36|util.py|click 684 308
19:23:37|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:23:38|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:23:38|util.py|click 733 445
19:23:41|const.py|作战失败判断 开始
19:23:45|const.py|紧急委托判断 开始
19:23:46|const.py|anchorProcess 出击步骤结束
19:23:47|util.py|getNumbers 识数字开始
19:23:48|util.py|getNumbers 识数字结束
19:23:48|util.py|getNumbers 识数字开始
19:23:49|util.py|getNumbers 识数字结束
19:23:49|util.py|getNumbers 识数字开始
19:23:50|util.py|getNumbers 识数字结束
19:23:50|util.py|getNumbers 识数字开始
19:23:52|util.py|getNumbers 识数字结束
19:23:52|util.py|getNumbers 识数字开始
19:23:53|util.py|getNumbers 识数字结束
19:23:53|util.py|click 157 170
19:23:54|util.py|findPicLoop 循环找图开始 ./public/bmp/start excise.jpg
19:23:55|util.py|findPicLoop 循环找图结束 ./public/bmp/start excise.jpg
19:23:55|util.py|click 433 384
19:23:56|const.py|anchorProcess 出击步骤开始
19:23:57|const.py|今日不再提示判断 开始
19:23:57|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:23:58|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:23:59|util.py|click 770 429
19:24:00|const.py|自律 开始
19:24:00|const.py|船坞已满判断 开始
19:24:12|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:24:51|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:24:51|const.py|自律 结束
19:24:52|util.py|click 181 426
19:24:53|util.py|click 684 308
19:24:56|const.py|打捞到sr或ssr判断 开始
19:24:57|util.py|click 684 308
19:24:57|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:24:58|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:24:58|util.py|click 733 445
19:25:02|const.py|作战失败判断 开始
19:25:05|const.py|紧急委托判断 开始
19:25:06|const.py|anchorProcess 出击步骤结束
19:25:07|util.py|getNumbers 识数字开始
19:25:09|util.py|getNumbers 识数字结束
19:25:09|util.py|getNumbers 识数字开始
19:25:10|util.py|getNumbers 识数字结束
19:25:10|util.py|getNumbers 识数字开始
19:25:11|util.py|getNumbers 识数字结束
19:25:11|util.py|getNumbers 识数字开始
19:25:12|util.py|getNumbers 识数字结束
19:25:12|util.py|getNumbers 识数字开始
19:25:14|util.py|getNumbers 识数字结束
19:25:14|util.py|click 654 173
19:25:15|util.py|findPicLoop 循环找图开始 ./public/bmp/start excise.jpg
19:25:15|util.py|findPicLoop 循环找图结束 ./public/bmp/start excise.jpg
19:25:15|util.py|click 433 384
19:25:16|const.py|anchorProcess 出击步骤开始
19:25:17|const.py|今日不再提示判断 开始
19:25:18|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:25:19|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:25:20|util.py|click 770 429
19:25:20|const.py|自律 开始
19:25:21|const.py|船坞已满判断 开始
19:25:33|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:25:55|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:25:55|const.py|自律 结束
19:25:56|util.py|click 181 426
19:25:58|util.py|click 684 308
19:26:00|const.py|打捞到sr或ssr判断 开始
19:26:01|util.py|click 684 308
19:26:01|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:26:02|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:26:02|util.py|click 733 445
19:26:06|const.py|作战失败判断 开始
19:26:09|const.py|紧急委托判断 开始
19:26:10|const.py|anchorProcess 出击步骤结束
19:26:11|util.py|getNumbers 识数字开始
19:26:13|util.py|getNumbers 识数字结束
19:26:13|util.py|getNumbers 识数字开始
19:26:14|util.py|getNumbers 识数字结束
19:26:14|util.py|getNumbers 识数字开始
19:26:15|util.py|getNumbers 识数字结束
19:26:15|util.py|getNumbers 识数字开始
19:26:16|util.py|getNumbers 识数字结束
19:26:16|util.py|getNumbers 识数字开始
19:26:17|util.py|getNumbers 识数字结束
19:26:17|util.py|click 157 170
19:26:18|util.py|findPicLoop 循环找图开始 ./public/bmp/start excise.jpg
19:26:19|util.py|findPicLoop 循环找图结束 ./public/bmp/start excise.jpg
19:26:19|util.py|click 433 384
19:26:20|const.py|anchorProcess 出击步骤开始
19:26:20|const.py|今日不再提示判断 开始
19:26:21|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:26:22|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:26:23|util.py|click 770 429
19:26:23|const.py|自律 开始
19:26:24|const.py|船坞已满判断 开始
19:26:36|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:26:53|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:26:53|const.py|自律 结束
19:26:54|util.py|click 181 426
19:26:56|util.py|click 684 308
19:26:58|const.py|打捞到sr或ssr判断 开始
19:26:59|util.py|click 684 308
19:27:00|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:27:01|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:27:01|util.py|click 733 445
19:27:04|const.py|作战失败判断 开始
19:27:08|const.py|紧急委托判断 开始
19:27:09|const.py|anchorProcess 出击步骤结束
19:27:10|util.py|getNumbers 识数字开始
19:27:11|util.py|getNumbers 识数字结束
19:27:11|util.py|getNumbers 识数字开始
19:27:12|util.py|getNumbers 识数字结束
19:27:12|util.py|getNumbers 识数字开始
19:27:13|util.py|getNumbers 识数字结束
19:27:13|util.py|getNumbers 识数字开始
19:27:14|util.py|getNumbers 识数字结束
