19:02:18|1每日.py|每日脚本开始
19:02:19|const.py|backMainProcess 返回主页面开始
19:02:22|const.py|backMainProcess 返回主页面结束
19:02:22|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
19:02:24|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
19:02:24|util.py|click 729 244
19:02:25|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
19:02:26|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
19:02:26|util.py|click 487 413
19:02:28|util.py|getNumbers 识数字开始
19:02:29|util.py|getNumbers 识数字结束
19:02:29|util.py|click 55 288
19:02:30|util.py|click 353 305
19:02:32|util.py|click 503 134
19:02:33|const.py|anchorProcess 出击步骤开始
19:02:34|const.py|今日不再提示判断 开始
19:02:35|util.py|click 603 109
19:02:36|const.py|今日不再提示
19:02:36|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:02:37|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:02:37|util.py|click 770 429
19:02:38|const.py|自律 开始
19:02:39|const.py|船坞已满判断 开始
19:02:51|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:03:54|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:03:54|const.py|自律 结束
19:03:55|util.py|click 181 426
19:03:57|util.py|click 684 308
19:03:59|const.py|打捞到sr或ssr判断 开始
19:04:00|util.py|click 684 308
19:04:00|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:04:01|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:04:01|util.py|click 733 445
19:04:05|const.py|作战失败判断 开始
19:04:09|const.py|紧急委托判断 开始
19:04:10|const.py|anchorProcess 出击步骤结束
19:04:10|util.py|click 503 134
19:04:11|const.py|anchorProcess 出击步骤开始
19:04:12|const.py|今日不再提示判断 开始
19:04:13|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:04:14|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:04:15|util.py|click 770 429
19:04:15|const.py|自律 开始
19:04:16|const.py|船坞已满判断 开始
19:04:28|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:05:30|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:05:30|const.py|自律 结束
19:05:31|util.py|click 181 426
19:05:32|util.py|click 684 308
19:05:34|const.py|打捞到sr或ssr判断 开始
19:05:37|util.py|click 684 308
19:05:38|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:05:39|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:05:39|util.py|click 733 445
19:05:43|const.py|作战失败判断 开始
19:05:47|const.py|紧急委托判断 开始
19:05:49|const.py|anchorProcess 出击步骤结束
19:05:49|util.py|click 503 134
19:05:50|const.py|anchorProcess 出击步骤开始
19:05:51|const.py|今日不再提示判断 开始
