20:08:03|1每日.py|每日脚本开始
20:08:04|const.py|backMainProcess 返回主页面开始
20:08:07|const.py|backMainProcess 返回主页面结束
20:08:07|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
20:08:08|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
20:08:08|util.py|click 729 244
20:08:09|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
20:08:10|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
20:08:10|util.py|click 487 413
20:08:11|util.py|getNumbers 识数字开始
20:08:13|util.py|getNumbers 识数字结束
20:08:13|util.py|click 353 305
20:08:14|util.py|click 503 134
20:08:16|const.py|anchorProcess 出击步骤开始
20:08:16|const.py|今日不再提示判断 开始
20:08:17|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
20:08:18|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
20:08:19|util.py|click 770 429
20:08:20|const.py|自律 开始
20:08:20|const.py|船坞已满判断 开始
20:08:32|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
20:09:01|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
20:09:01|const.py|自律 结束
20:09:02|util.py|click 181 426
20:09:04|util.py|click 684 308
20:09:06|const.py|打捞到sr或ssr判断 开始
20:09:07|util.py|click 684 308
20:09:07|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
20:09:08|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
20:09:08|util.py|click 733 445
20:09:11|const.py|作战失败判断 开始
20:09:15|const.py|紧急委托判断 开始
20:09:16|const.py|anchorProcess 出击步骤结束
20:09:16|util.py|click 503 134
20:09:18|const.py|anchorProcess 出击步骤开始
20:09:18|const.py|今日不再提示判断 开始
20:09:19|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
20:09:20|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
20:09:21|util.py|click 770 429
20:09:21|const.py|自律 开始
20:09:22|const.py|船坞已满判断 开始
20:09:34|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
20:10:02|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
20:10:02|const.py|自律 结束
20:10:04|util.py|click 181 426
20:10:05|util.py|click 684 308
20:10:07|const.py|打捞到sr或ssr判断 开始
20:10:08|util.py|click 684 308
20:10:08|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
20:10:09|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
20:10:09|util.py|click 733 445
20:10:13|const.py|作战失败判断 开始
20:10:17|const.py|紧急委托判断 开始
20:10:18|const.py|anchorProcess 出击步骤结束
20:10:18|util.py|click 503 134
20:10:19|const.py|anchorProcess 出击步骤开始
20:10:20|const.py|今日不再提示判断 开始
20:10:21|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
20:10:22|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
20:10:22|util.py|click 770 429
20:10:23|const.py|自律 开始
20:10:24|const.py|船坞已满判断 开始
20:10:35|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
20:11:04|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
20:11:04|const.py|自律 结束
20:11:06|util.py|click 181 426
20:11:07|util.py|click 684 308
20:11:09|const.py|打捞到sr或ssr判断 开始
20:11:10|util.py|click 684 308
20:11:10|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
20:11:11|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
20:11:11|util.py|click 733 445
20:11:15|const.py|作战失败判断 开始
20:11:18|const.py|紧急委托判断 开始
20:11:19|const.py|anchorProcess 出击步骤结束
20:11:19|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
20:11:20|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
20:11:21|util.py|click 38 33
20:11:21|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
20:11:22|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
20:11:23|util.py|click 38 33
20:11:24|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
20:11:26|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
20:11:26|util.py|click 487 413
20:11:28|util.py|getNumbers 识数字开始
20:11:30|util.py|getNumbers 识数字结束
20:11:30|util.py|click 547 295
20:11:31|util.py|click 353 305
20:11:33|util.py|click 503 134
20:11:34|const.py|anchorProcess 出击步骤开始
20:11:35|const.py|今日不再提示判断 开始
20:11:36|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
20:11:37|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
20:11:38|util.py|click 770 429
20:11:38|const.py|自律 开始
20:11:39|const.py|船坞已满判断 开始
20:11:50|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
20:12:24|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
20:12:24|const.py|自律 结束
20:12:25|util.py|click 181 426
20:12:26|util.py|click 684 308
20:12:28|const.py|打捞到sr或ssr判断 开始
20:12:29|util.py|click 684 308
20:12:29|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
20:12:30|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
20:12:30|util.py|click 733 445
20:12:34|const.py|作战失败判断 开始
20:12:38|const.py|紧急委托判断 开始
20:12:38|const.py|anchorProcess 出击步骤结束
20:12:38|util.py|click 503 134
20:12:40|const.py|anchorProcess 出击步骤开始
20:12:40|const.py|今日不再提示判断 开始
20:12:41|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
20:12:42|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
20:12:43|util.py|click 770 429
20:12:44|const.py|自律 开始
20:12:45|const.py|船坞已满判断 开始
20:12:56|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
