19:33:05|1每日.py|每日脚本开始
19:33:06|const.py|backMainProcess 返回主页面开始
19:33:08|const.py|backMainProcess 返回主页面结束
19:33:08|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
19:33:09|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
19:33:09|util.py|click 729 244
19:33:11|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
19:33:12|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
19:33:12|util.py|click 487 413
19:33:13|util.py|getNumbers 识数字开始
19:33:15|util.py|getNumbers 识数字结束
19:33:15|util.py|click 353 305
19:33:17|util.py|click 503 134
19:33:19|const.py|anchorProcess 出击步骤开始
19:33:19|const.py|今日不再提示判断 开始
19:33:21|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:33:22|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:33:23|util.py|click 770 429
19:33:24|const.py|自律 开始
19:33:24|const.py|船坞已满判断 开始
19:33:36|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:34:07|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:34:07|const.py|自律 结束
19:34:08|util.py|click 181 426
19:34:09|util.py|click 684 308
19:34:11|const.py|打捞到sr或ssr判断 开始
19:34:12|util.py|click 684 308
19:34:13|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:34:14|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:34:14|util.py|click 733 445
19:34:17|const.py|作战失败判断 开始
19:34:21|const.py|紧急委托判断 开始
19:34:22|const.py|anchorProcess 出击步骤结束
19:34:22|util.py|click 503 134
19:34:23|const.py|anchorProcess 出击步骤开始
19:34:24|const.py|今日不再提示判断 开始
19:34:25|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:34:26|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:34:27|util.py|click 770 429
19:34:27|const.py|自律 开始
19:34:28|const.py|船坞已满判断 开始
19:34:40|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:35:09|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:35:09|const.py|自律 结束
19:35:10|util.py|click 181 426
19:35:11|util.py|click 684 308
19:35:13|const.py|打捞到sr或ssr判断 开始
19:35:14|util.py|click 684 308
19:35:15|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:35:16|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:35:16|util.py|click 733 445
19:35:19|const.py|作战失败判断 开始
19:35:23|const.py|紧急委托判断 开始
19:35:24|const.py|anchorProcess 出击步骤结束
19:35:24|util.py|click 503 134
19:35:25|const.py|anchorProcess 出击步骤开始
19:35:26|const.py|今日不再提示判断 开始
19:35:27|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:35:28|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:35:29|util.py|click 770 429
19:35:29|const.py|自律 开始
19:35:30|const.py|船坞已满判断 开始
19:35:42|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:36:10|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:36:10|const.py|自律 结束
19:36:12|util.py|click 181 426
19:36:13|util.py|click 684 308
19:36:15|const.py|打捞到sr或ssr判断 开始
19:36:17|util.py|click 684 308
19:36:17|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:36:18|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:36:18|util.py|click 733 445
19:36:21|const.py|作战失败判断 开始
19:36:25|const.py|紧急委托判断 开始
19:36:26|const.py|anchorProcess 出击步骤结束
19:36:26|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
19:36:27|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
19:36:28|util.py|click 38 33
19:36:28|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
19:36:30|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
19:36:31|util.py|click 38 33
19:36:31|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
19:36:33|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
19:36:33|util.py|click 487 413
19:36:36|util.py|getNumbers 识数字开始
19:36:37|util.py|getNumbers 识数字结束
19:36:37|util.py|click 547 295
19:36:39|util.py|click 353 305
19:36:40|util.py|click 503 134
19:36:41|const.py|anchorProcess 出击步骤开始
19:36:42|const.py|今日不再提示判断 开始
19:36:44|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:36:45|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:36:46|util.py|click 770 429
19:36:46|const.py|自律 开始
19:36:47|const.py|船坞已满判断 开始
19:36:59|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:37:33|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:37:33|const.py|自律 结束
19:37:34|util.py|click 181 426
19:37:36|util.py|click 684 308
19:37:38|const.py|打捞到sr或ssr判断 开始
19:37:39|util.py|click 684 308
19:37:39|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:37:40|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:37:40|util.py|click 733 445
19:37:44|const.py|作战失败判断 开始
19:37:48|const.py|紧急委托判断 开始
19:37:49|const.py|anchorProcess 出击步骤结束
19:37:49|util.py|click 503 134
19:37:51|const.py|anchorProcess 出击步骤开始
19:37:51|const.py|今日不再提示判断 开始
19:37:53|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:37:54|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:37:55|util.py|click 770 429
19:37:55|const.py|自律 开始
19:37:56|const.py|船坞已满判断 开始
19:38:07|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:38:41|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:38:41|const.py|自律 结束
19:38:42|util.py|click 181 426
19:38:44|util.py|click 684 308
19:38:46|const.py|打捞到sr或ssr判断 开始
19:38:48|util.py|click 684 308
19:38:48|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:38:49|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:38:49|util.py|click 733 445
19:38:52|const.py|作战失败判断 开始
19:38:56|const.py|紧急委托判断 开始
19:38:57|const.py|anchorProcess 出击步骤结束
19:38:57|util.py|click 503 134
19:38:59|const.py|anchorProcess 出击步骤开始
19:38:59|const.py|今日不再提示判断 开始
19:39:00|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:39:01|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
