12:44:38|1每日.py|每日脚本开始
12:44:39|const.py|backMainProcess 返回主页面开始
12:44:41|const.py|backMainProcess 返回主页面结束
12:44:41|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
12:44:42|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
12:44:42|util.py|click 729 244
12:44:43|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
12:44:43|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
12:44:43|util.py|click 487 413
12:44:44|util.py|getNumbers 识数字开始
12:44:46|util.py|getNumbers 识数字结束
12:44:46|util.py|click 55 288
12:44:47|util.py|click 353 305
12:44:48|util.py|click 503 134
12:44:49|const.py|anchorProcess 出击步骤开始
12:44:50|const.py|今日不再提示判断 开始
12:44:50|util.py|click 603 109
12:44:51|const.py|今日不再提示
12:44:51|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
12:44:51|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
12:44:52|util.py|click 770 429
12:44:52|const.py|自律 开始
12:44:53|const.py|船坞已满判断 开始
12:45:04|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
12:46:06|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
12:46:06|const.py|自律 结束
12:46:07|util.py|click 135 424
12:46:08|util.py|click 684 308
12:46:10|const.py|打捞到sr或ssr判断 开始
12:46:11|util.py|click 684 308
12:46:11|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
12:46:12|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
12:46:12|util.py|click 733 445
12:46:15|const.py|作战失败判断 开始
12:46:19|const.py|紧急委托判断 开始
12:46:20|const.py|anchorProcess 出击步骤结束
12:46:20|util.py|click 503 134
12:46:21|const.py|anchorProcess 出击步骤开始
12:46:21|const.py|今日不再提示判断 开始
12:46:22|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
12:46:23|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
12:46:24|util.py|click 770 429
12:46:24|const.py|自律 开始
12:46:25|const.py|船坞已满判断 开始
12:46:36|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
12:47:37|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
12:47:37|const.py|自律 结束
12:47:38|util.py|click 135 424
12:47:39|util.py|click 684 308
12:47:41|const.py|打捞到sr或ssr判断 开始
12:47:42|util.py|click 684 308
12:47:42|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
12:47:43|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
12:47:43|util.py|click 733 445
12:47:46|const.py|作战失败判断 开始
12:47:50|const.py|紧急委托判断 开始
12:47:50|const.py|anchorProcess 出击步骤结束
12:47:50|util.py|click 503 134
12:47:51|const.py|anchorProcess 出击步骤开始
12:47:52|const.py|今日不再提示判断 开始
12:47:53|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
12:47:53|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
12:47:54|util.py|click 770 429
12:47:55|const.py|自律 开始
12:47:55|const.py|船坞已满判断 开始
12:48:06|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
12:49:07|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
12:49:07|const.py|自律 结束
12:49:08|util.py|click 135 424
12:49:09|util.py|click 684 308
12:49:11|const.py|打捞到sr或ssr判断 开始
12:49:12|util.py|click 684 308
12:49:12|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
12:49:13|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
12:49:13|util.py|click 733 445
12:49:16|const.py|作战失败判断 开始
12:49:20|const.py|紧急委托判断 开始
12:49:20|const.py|anchorProcess 出击步骤结束
12:49:20|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
12:49:21|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
12:49:22|util.py|click 38 33
12:49:22|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
12:49:23|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
12:49:24|util.py|click 38 33
12:49:25|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
12:49:26|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
12:49:26|util.py|click 487 413
12:49:28|util.py|getNumbers 识数字开始
12:49:29|util.py|getNumbers 识数字结束
12:49:29|util.py|click 185 295
12:49:31|util.py|click 353 305
12:49:32|util.py|click 503 134
12:49:33|const.py|anchorProcess 出击步骤开始
12:49:34|const.py|今日不再提示判断 开始
12:49:34|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
12:49:35|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
12:49:36|util.py|click 770 429
12:49:36|const.py|自律 开始
12:49:37|const.py|船坞已满判断 开始
12:49:48|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
12:51:06|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
12:51:06|const.py|自律 结束
12:51:07|util.py|click 135 424
12:51:08|util.py|click 684 308
12:51:10|const.py|打捞到sr或ssr判断 开始
12:51:11|util.py|click 684 308
12:51:11|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
12:51:12|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
12:51:12|util.py|click 733 445
12:51:15|const.py|作战失败判断 开始
12:51:18|const.py|紧急委托判断 开始
12:51:19|const.py|anchorProcess 出击步骤结束
12:51:19|util.py|click 503 134
12:51:20|const.py|anchorProcess 出击步骤开始
12:51:21|const.py|今日不再提示判断 开始
12:51:22|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
12:51:22|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
12:51:23|util.py|click 770 429
12:51:24|const.py|自律 开始
12:51:24|const.py|船坞已满判断 开始
12:51:35|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
12:52:52|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
12:52:52|const.py|自律 结束
12:52:54|util.py|click 135 424
12:52:55|util.py|click 684 308
12:52:57|const.py|打捞到sr或ssr判断 开始
12:52:57|util.py|click 684 308
12:52:57|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
12:52:58|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
12:52:58|util.py|click 733 445
12:53:01|const.py|作战失败判断 开始
12:53:05|const.py|紧急委托判断 开始
12:53:06|const.py|anchorProcess 出击步骤结束
12:53:06|util.py|click 503 134
12:53:07|const.py|anchorProcess 出击步骤开始
12:53:07|const.py|今日不再提示判断 开始
12:53:08|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
12:53:09|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
12:53:10|util.py|click 770 429
12:53:10|const.py|自律 开始
12:53:11|const.py|船坞已满判断 开始
12:53:21|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
12:54:40|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
13:00:13|const.py|自律 结束
13:00:14|util.py|click 135 424
13:00:15|util.py|click 684 308
13:00:17|const.py|打捞到sr或ssr判断 开始
13:00:18|util.py|click 684 308
13:00:18|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
13:00:19|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
13:00:19|util.py|click 733 445
13:00:22|const.py|作战失败判断 开始
13:00:26|const.py|紧急委托判断 开始
13:00:26|const.py|anchorProcess 出击步骤结束
13:00:26|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
13:00:27|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
13:00:28|util.py|click 38 33
13:00:28|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
13:00:29|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
13:00:30|util.py|click 38 33
13:00:30|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
13:00:32|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
13:00:32|util.py|click 487 413
13:00:34|util.py|getNumbers 识数字开始
13:00:35|util.py|getNumbers 识数字结束
13:00:35|util.py|click 353 305
13:00:36|util.py|click 503 134
13:00:37|const.py|anchorProcess 出击步骤开始
13:00:38|const.py|今日不再提示判断 开始
13:00:39|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
13:00:39|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
13:00:40|util.py|click 770 429
13:00:41|const.py|自律 开始
13:00:41|const.py|船坞已满判断 开始
13:00:52|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
13:01:15|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
13:01:15|const.py|自律 结束
13:01:16|util.py|click 135 424
13:01:17|util.py|click 684 308
13:01:19|const.py|打捞到sr或ssr判断 开始
13:01:20|util.py|click 684 308
13:01:20|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
13:01:21|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
13:01:21|util.py|click 733 445
13:01:24|const.py|作战失败判断 开始
13:01:28|const.py|紧急委托判断 开始
13:01:28|const.py|anchorProcess 出击步骤结束
13:01:28|util.py|click 503 134
13:01:29|const.py|anchorProcess 出击步骤开始
13:01:30|const.py|今日不再提示判断 开始
13:01:31|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
13:01:31|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
13:01:32|util.py|click 770 429
13:01:32|const.py|自律 开始
13:01:33|const.py|船坞已满判断 开始
13:01:44|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
13:02:07|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
13:02:07|const.py|自律 结束
13:02:08|util.py|click 135 424
13:02:09|util.py|click 684 308
13:02:11|const.py|打捞到sr或ssr判断 开始
13:02:12|util.py|click 684 308
13:02:12|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
13:02:13|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
13:02:13|util.py|click 733 445
13:02:16|const.py|作战失败判断 开始
13:02:20|const.py|紧急委托判断 开始
13:02:20|const.py|anchorProcess 出击步骤结束
13:02:20|util.py|click 503 134
