19:34:34|1每日.py|每日脚本开始
19:34:35|const.py|backMainProcess 返回主页面开始
19:34:37|const.py|backMainProcess 返回主页面结束
19:34:37|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
19:34:37|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
19:34:37|util.py|click 729 244
19:34:39|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
19:34:39|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
19:34:39|util.py|click 487 413
19:34:40|util.py|getNumbers 识数字开始
19:34:42|util.py|getNumbers 识数字结束
19:34:42|util.py|click 185 295
19:34:43|util.py|click 353 305
19:34:44|util.py|click 503 134
19:34:45|const.py|anchorProcess 出击步骤开始
19:34:46|const.py|今日不再提示判断 开始
19:34:46|util.py|click 603 109
19:34:47|const.py|今日不再提示
19:34:47|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:34:47|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:34:48|util.py|click 770 429
19:34:48|const.py|自律 开始
19:34:49|const.py|船坞已满判断 开始
19:35:00|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:36:18|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:36:18|const.py|自律 结束
19:36:19|util.py|click 135 424
19:36:20|util.py|click 684 308
19:36:22|const.py|打捞到sr或ssr判断 开始
19:36:23|util.py|click 684 308
19:36:23|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:36:24|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:36:24|util.py|click 733 445
19:36:27|const.py|作战失败判断 开始
19:36:31|const.py|紧急委托判断 开始
19:36:31|const.py|anchorProcess 出击步骤结束
19:36:31|util.py|click 503 134
19:36:32|const.py|anchorProcess 出击步骤开始
19:36:33|const.py|今日不再提示判断 开始
19:36:34|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:36:35|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:36:35|util.py|click 770 429
19:36:36|const.py|自律 开始
19:36:36|const.py|船坞已满判断 开始
19:36:47|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:38:05|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:38:05|const.py|自律 结束
19:38:06|util.py|click 135 424
19:38:07|util.py|click 684 308
19:38:09|const.py|打捞到sr或ssr判断 开始
19:38:10|util.py|click 684 308
19:38:10|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:38:11|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:38:11|util.py|click 733 445
19:38:14|const.py|作战失败判断 开始
19:38:18|const.py|紧急委托判断 开始
19:38:18|const.py|anchorProcess 出击步骤结束
19:38:18|util.py|click 503 134
19:38:19|const.py|anchorProcess 出击步骤开始
19:38:20|const.py|今日不再提示判断 开始
19:38:21|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:38:21|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:38:22|util.py|click 770 429
19:38:23|const.py|自律 开始
19:38:23|const.py|船坞已满判断 开始
19:38:34|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:39:52|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:39:52|const.py|自律 结束
19:39:53|util.py|click 135 424
19:39:54|util.py|click 684 308
19:39:56|const.py|打捞到sr或ssr判断 开始
19:39:57|util.py|click 684 308
19:39:57|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:39:58|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:39:58|util.py|click 733 445
19:40:01|const.py|作战失败判断 开始
19:40:05|const.py|紧急委托判断 开始
19:40:05|const.py|anchorProcess 出击步骤结束
19:40:05|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
19:40:06|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
19:40:07|util.py|click 38 33
19:40:07|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
19:40:08|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
19:40:09|util.py|click 38 33
19:40:10|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
19:40:11|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
19:40:11|util.py|click 487 413
19:40:13|util.py|getNumbers 识数字开始
19:40:15|util.py|getNumbers 识数字结束
19:40:15|util.py|click 353 305
19:40:16|util.py|click 503 134
19:40:17|const.py|anchorProcess 出击步骤开始
19:40:18|const.py|今日不再提示判断 开始
19:40:19|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:40:19|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:40:20|util.py|click 770 429
19:40:20|const.py|自律 开始
19:40:21|const.py|船坞已满判断 开始
19:40:32|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:40:57|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:40:57|const.py|自律 结束
19:40:59|util.py|click 135 424
19:41:00|util.py|click 684 308
