18:55:27|1每日.py|每日脚本开始
18:55:29|const.py|backMainProcess 返回主页面开始
18:55:31|const.py|backMainProcess 返回主页面结束
18:55:31|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
18:55:32|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
18:55:32|util.py|click 729 244
18:55:33|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
18:55:34|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
18:55:34|util.py|click 487 413
18:55:35|util.py|getNumbers 识数字开始
18:55:37|util.py|getNumbers 识数字结束
18:55:37|util.py|click 185 295
18:55:38|util.py|click 353 305
18:55:40|util.py|click 503 134
18:55:41|const.py|anchorProcess 出击步骤开始
18:55:42|const.py|今日不再提示判断 开始
18:55:43|util.py|click 603 109
18:55:43|const.py|今日不再提示
18:55:43|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
18:55:45|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
18:55:45|util.py|click 770 429
18:55:46|const.py|自律 开始
18:55:47|const.py|船坞已满判断 开始
18:55:59|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
18:57:16|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
18:57:16|const.py|自律 结束
18:57:18|util.py|click 181 426
18:57:19|util.py|click 684 308
18:57:22|const.py|打捞到sr或ssr判断 开始
18:57:23|util.py|click 684 308
18:57:23|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
18:57:24|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
18:57:24|util.py|click 733 445
18:57:28|const.py|作战失败判断 开始
18:57:32|const.py|紧急委托判断 开始
18:57:33|const.py|anchorProcess 出击步骤结束
18:57:33|util.py|click 503 134
18:57:34|const.py|anchorProcess 出击步骤开始
18:57:35|const.py|今日不再提示判断 开始
18:57:36|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
18:57:37|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
18:57:38|util.py|click 770 429
18:57:38|const.py|自律 开始
18:57:39|const.py|船坞已满判断 开始
18:57:50|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
18:59:09|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
18:59:09|const.py|自律 结束
18:59:10|util.py|click 181 426
18:59:11|util.py|click 684 308
18:59:14|const.py|打捞到sr或ssr判断 开始
18:59:15|util.py|click 684 308
18:59:15|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
18:59:16|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
18:59:16|util.py|click 733 445
18:59:20|const.py|作战失败判断 开始
18:59:24|const.py|紧急委托判断 开始
18:59:25|const.py|anchorProcess 出击步骤结束
18:59:25|util.py|click 503 134
18:59:26|const.py|anchorProcess 出击步骤开始
18:59:27|const.py|今日不再提示判断 开始
18:59:29|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
18:59:29|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
