19:29:08|1每日.py|每日脚本开始
19:36:11|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:36:11|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:36:11|util.py|click 733 445
19:36:15|const.py|作战失败判断 开始
19:36:19|const.py|紧急委托判断 开始
19:36:20|const.py|anchorProcess 出击步骤结束
19:36:20|util.py|click 503 134
19:36:21|const.py|anchorProcess 出击步骤开始
19:36:22|const.py|今日不再提示判断 开始
19:36:23|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:36:23|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:36:24|util.py|click 770 429
19:36:25|const.py|自律 开始
19:36:25|const.py|船坞已满判断 开始
19:36:36|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:37:06|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:37:06|const.py|自律 结束
19:37:08|util.py|click 181 426
19:37:09|util.py|click 684 308
19:37:11|const.py|打捞到sr或ssr判断 开始
19:37:12|util.py|click 684 308
19:37:12|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:37:13|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:37:13|util.py|click 733 445
19:37:17|const.py|作战失败判断 开始
19:37:21|const.py|紧急委托判断 开始
19:37:22|const.py|anchorProcess 出击步骤结束
19:37:22|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
19:37:23|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
19:37:24|util.py|click 38 33
19:37:25|const.py|backMainProcess 返回主页面开始
19:37:27|util.py|click 838 25
19:37:32|2演习.py|演习脚本开始
19:37:33|const.py|backMainProcess 返回主页面开始
19:37:35|const.py|backMainProcess 返回主页面结束
19:37:35|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
19:37:36|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
19:37:36|util.py|click 729 244
19:37:37|util.py|findPicLoop 循环找图开始 ./public/bmp/exercise.jpg
19:37:38|util.py|findPicLoop 循环找图结束 ./public/bmp/exercise.jpg
19:37:38|util.py|click 700 413
19:37:40|util.py|getNumbers 识数字开始
19:37:41|util.py|getNumbers 识数字结束
19:37:41|util.py|getNumbers 识数字开始
19:37:42|util.py|getNumbers 识数字结束
19:37:42|util.py|getNumbers 识数字开始
19:37:43|util.py|getNumbers 识数字结束
19:37:43|util.py|getNumbers 识数字开始
19:37:45|util.py|getNumbers 识数字结束
19:37:45|util.py|getNumbers 识数字开始
19:37:46|util.py|getNumbers 识数字结束
19:37:46|util.py|click 654 173
19:37:47|util.py|findPicLoop 循环找图开始 ./public/bmp/start excise.jpg
19:37:47|util.py|findPicLoop 循环找图结束 ./public/bmp/start excise.jpg
19:37:47|util.py|click 433 384
19:37:48|const.py|anchorProcess 出击步骤开始
19:37:49|const.py|今日不再提示判断 开始
19:37:50|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:37:51|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:37:52|util.py|click 770 429
19:37:52|const.py|自律 开始
19:37:53|const.py|船坞已满判断 开始
19:38:04|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:39:55|2演习.py|演习脚本开始
19:39:56|const.py|backMainProcess 返回主页面开始
19:40:00|const.py|backMainProcess 返回主页面结束
19:40:00|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
19:40:01|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
19:40:01|util.py|click 729 244
19:40:02|util.py|findPicLoop 循环找图开始 ./public/bmp/exercise.jpg
19:40:04|util.py|findPicLoop 循环找图结束 ./public/bmp/exercise.jpg
19:40:04|util.py|click 700 413
19:40:06|util.py|getNumbers 识数字开始
19:40:07|util.py|getNumbers 识数字结束
19:40:07|util.py|getNumbers 识数字开始
19:40:09|util.py|getNumbers 识数字结束
19:40:09|util.py|getNumbers 识数字开始
19:40:10|util.py|getNumbers 识数字结束
19:40:10|util.py|getNumbers 识数字开始
19:40:12|util.py|getNumbers 识数字结束
19:40:12|util.py|getNumbers 识数字开始
19:40:14|util.py|getNumbers 识数字结束
19:40:14|util.py|click 654 173
19:40:15|util.py|findPicLoop 循环找图开始 ./public/bmp/start excise.jpg
19:40:16|util.py|findPicLoop 循环找图结束 ./public/bmp/start excise.jpg
19:40:16|util.py|click 433 384
19:40:17|const.py|anchorProcess 出击步骤开始
19:40:18|const.py|今日不再提示判断 开始
19:40:19|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:40:20|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:40:21|util.py|click 770 429
19:40:21|const.py|自律 开始
19:40:22|const.py|船坞已满判断 开始
19:40:34|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:41:16|3困难7-2.py|困难7-2脚本开始
19:41:16|const.py|chapterProcess 进入出击章节步骤开始
19:41:16|const.py|backMainProcess 返回主页面开始
19:41:19|const.py|backMainProcess 返回主页面结束
19:41:19|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
19:41:20|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
19:41:20|util.py|click 729 244
19:41:21|const.py|判断是否为图里面 开始
19:41:24|util.py|findPicLoop 循环找图开始 ./public/bmp/main battleline.jpg
19:41:25|util.py|findPicLoop 循环找图结束 ./public/bmp/main battleline.jpg
19:41:25|util.py|click 231 225
19:41:25|util.py|findPicLoop 循环找图开始 ./public/bmp/exercise.jpg
19:41:27|util.py|findPicLoop 循环找图结束 ./public/bmp/exercise.jpg
19:41:27|util.py|getWords 识字开始
19:41:28|util.py|getWords 识字结束
19:41:29|const.py|chapterProcess 进入出击章节步骤结束
19:41:29|const.py|intoStageProcess 进入stage步骤开始
19:41:31|util.py|click 376 150
19:41:32|util.py|findPicLoop 循环找图开始 ./public/bmp/start chapter.jpg
19:41:34|util.py|findPicLoop 循环找图结束 ./public/bmp/start chapter.jpg
19:41:34|util.py|click 642 350
19:41:35|const.py|船坞已满判断 开始
19:41:37|util.py|findPicLoop 循环找图开始 ./public/bmp/start chapter.jpg
19:41:38|util.py|findPicLoop 循环找图结束 ./public/bmp/start chapter.jpg
19:41:38|util.py|click 716 411
19:41:38|const.py|intoStageProcess 进入stage步骤结束
19:41:38|const.py|goBossProcess 走boss格子 开始
19:41:38|util.py|findPicLoop 循环找图开始 ./public/bmp/boss.jpg
19:41:44|util.py|findPicLoop 循环找图结束 ./public/bmp/boss.jpg
19:41:44|util.py|click 431 236
19:41:44|const.py|anchorProcess 出击步骤开始
19:41:45|const.py|今日不再提示判断 开始
19:41:46|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:41:49|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:41:50|util.py|click 770 429
19:41:50|const.py|自律 开始
19:41:51|const.py|船坞已满判断 开始
19:42:02|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:42:59|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:42:59|const.py|自律 结束
19:43:00|util.py|click 181 426
19:43:01|util.py|click 684 308
19:43:03|const.py|打捞到sr或ssr判断 开始
19:43:05|const.py|打捞到sr或者ssr
19:43:05|util.py|click 684 308
19:43:07|util.py|click 684 308
19:43:08|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:43:09|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:43:09|util.py|click 733 445
19:43:12|const.py|作战失败判断 开始
19:43:16|const.py|紧急委托判断 开始
19:43:17|const.py|anchorProcess 出击步骤结束
19:43:17|const.py|goBossProcess boss解决
19:43:17|const.py|intoStageProcess 进入stage步骤开始
19:43:19|util.py|click 376 150
19:43:20|util.py|findPicLoop 循环找图开始 ./public/bmp/start chapter.jpg
19:43:22|util.py|findPicLoop 循环找图结束 ./public/bmp/start chapter.jpg
19:43:22|util.py|click 642 350
19:43:23|const.py|船坞已满判断 开始
19:43:25|util.py|findPicLoop 循环找图开始 ./public/bmp/start chapter.jpg
19:43:25|util.py|findPicLoop 循环找图结束 ./public/bmp/start chapter.jpg
19:43:25|util.py|click 716 411
19:43:26|const.py|intoStageProcess 进入stage步骤结束
19:43:26|const.py|goBossProcess 走boss格子 开始
19:43:26|util.py|findPicLoop 循环找图开始 ./public/bmp/boss.jpg
19:43:31|util.py|findPicLoop 循环找图结束 ./public/bmp/boss.jpg
19:43:31|util.py|click 431 236
19:43:32|const.py|anchorProcess 出击步骤开始
19:43:33|const.py|今日不再提示判断 开始
19:43:34|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:43:37|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:43:38|util.py|click 770 429
19:43:38|const.py|自律 开始
19:43:39|const.py|船坞已满判断 开始
19:43:51|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
