19:20:02|1每日.py|每日脚本开始
19:20:03|const.py|backMainProcess 返回主页面开始
19:20:06|const.py|backMainProcess 返回主页面结束
19:20:06|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
19:20:07|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
19:20:07|util.py|click 729 244
19:20:08|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
19:20:09|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
19:20:09|util.py|click 487 413
19:20:11|util.py|getNumbers 识数字开始
19:20:12|util.py|getNumbers 识数字结束
19:20:12|util.py|click 55 288
19:20:14|util.py|click 353 305
19:20:15|util.py|click 503 134
19:20:16|const.py|anchorProcess 出击步骤开始
19:20:17|const.py|今日不再提示判断 开始
19:20:18|util.py|click 603 109
19:20:18|const.py|今日不再提示
19:20:18|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:20:19|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:20:20|util.py|click 770 429
19:20:21|const.py|自律 开始
19:20:22|const.py|船坞已满判断 开始
19:20:34|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:21:37|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:21:37|const.py|自律 结束
19:21:38|util.py|click 181 426
19:21:40|util.py|click 684 308
19:21:42|const.py|打捞到sr或ssr判断 开始
19:21:43|util.py|click 684 308
19:21:44|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:21:45|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:21:45|util.py|click 733 445
19:21:48|const.py|作战失败判断 开始
19:21:52|const.py|紧急委托判断 开始
19:21:54|const.py|anchorProcess 出击步骤结束
19:21:54|util.py|click 503 134
19:21:55|const.py|anchorProcess 出击步骤开始
19:21:56|const.py|今日不再提示判断 开始
19:21:57|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:21:58|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:21:59|util.py|click 770 429
19:21:59|const.py|自律 开始
19:22:00|const.py|船坞已满判断 开始
19:22:12|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:23:15|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:23:15|const.py|自律 结束
19:23:16|util.py|click 181 426
19:23:17|util.py|click 684 308
19:23:20|const.py|打捞到sr或ssr判断 开始
19:23:22|util.py|click 684 308
19:23:23|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:23:24|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:23:24|util.py|click 733 445
19:23:28|const.py|作战失败判断 开始
19:23:33|const.py|紧急委托判断 开始
