19:11:07|1每日.py|每日脚本开始
19:11:08|const.py|backMainProcess 返回主页面开始
19:11:11|const.py|backMainProcess 返回主页面结束
19:11:11|util.py|findPicLoop 循环找图开始 ./public/bmp/weigh anchor.jpg
19:11:13|util.py|findPicLoop 循环找图结束 ./public/bmp/weigh anchor.jpg
19:11:13|util.py|click 729 244
19:11:14|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
19:11:15|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
19:11:15|util.py|click 487 413
19:11:17|util.py|getNumbers 识数字开始
19:11:19|util.py|getNumbers 识数字结束
19:11:19|util.py|click 185 295
19:11:20|util.py|click 353 305
19:11:22|util.py|click 503 134
19:11:24|const.py|anchorProcess 出击步骤开始
19:11:24|const.py|今日不再提示判断 开始
19:11:26|util.py|click 603 109
19:11:27|const.py|今日不再提示
19:11:27|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:11:28|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:11:29|util.py|click 770 429
19:11:30|const.py|自律 开始
19:11:31|const.py|船坞已满判断 开始
19:11:43|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:13:05|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:13:05|const.py|自律 结束
19:13:07|util.py|click 181 426
19:13:08|util.py|click 684 308
19:13:10|const.py|打捞到sr或ssr判断 开始
19:13:12|util.py|click 684 308
19:13:13|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:13:14|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:13:14|util.py|click 733 445
19:13:18|const.py|作战失败判断 开始
19:13:22|const.py|紧急委托判断 开始
19:13:24|const.py|anchorProcess 出击步骤结束
19:13:24|util.py|click 503 134
19:13:25|const.py|anchorProcess 出击步骤开始
19:13:26|const.py|今日不再提示判断 开始
19:13:28|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:13:29|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:13:30|util.py|click 770 429
19:13:31|const.py|自律 开始
19:13:32|const.py|船坞已满判断 开始
19:13:44|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:15:01|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:15:01|const.py|自律 结束
19:15:02|util.py|click 181 426
19:15:04|util.py|click 684 308
19:15:07|const.py|打捞到sr或ssr判断 开始
19:15:08|util.py|click 684 308
19:15:09|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:15:11|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:15:11|util.py|click 733 445
19:15:15|const.py|作战失败判断 开始
19:15:19|const.py|紧急委托判断 开始
19:15:21|const.py|anchorProcess 出击步骤结束
19:15:21|util.py|click 503 134
19:15:22|const.py|anchorProcess 出击步骤开始
19:15:23|const.py|今日不再提示判断 开始
19:15:25|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:15:26|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:15:26|util.py|click 770 429
19:15:27|const.py|自律 开始
19:15:28|const.py|船坞已满判断 开始
19:15:41|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:16:57|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:16:57|const.py|自律 结束
19:16:58|util.py|click 181 426
19:17:00|util.py|click 684 308
19:17:02|const.py|打捞到sr或ssr判断 开始
19:17:03|util.py|click 684 308
19:17:04|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:17:05|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:17:05|util.py|click 733 445
19:17:09|const.py|作战失败判断 开始
19:17:13|const.py|紧急委托判断 开始
19:17:15|const.py|anchorProcess 出击步骤结束
19:17:15|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
19:17:16|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
19:17:16|util.py|click 38 33
19:17:17|util.py|findPicLoop 循环找图开始 ./public/bmp/back.jpg
19:17:18|util.py|findPicLoop 循环找图结束 ./public/bmp/back.jpg
19:17:19|util.py|click 38 33
19:17:20|util.py|findPicLoop 循环找图开始 ./public/bmp/daily task.jpg
19:17:22|util.py|findPicLoop 循环找图结束 ./public/bmp/daily task.jpg
19:17:22|util.py|click 487 413
19:17:25|util.py|getNumbers 识数字开始
19:17:27|util.py|getNumbers 识数字结束
19:17:27|util.py|click 353 305
19:17:28|util.py|click 503 134
19:17:30|const.py|anchorProcess 出击步骤开始
19:17:31|const.py|今日不再提示判断 开始
19:17:32|util.py|findPicLoop 循环找图开始 ./public/bmp/anchor.bmp
19:17:33|util.py|findPicLoop 循环找图结束 ./public/bmp/anchor.bmp
19:17:34|util.py|click 770 429
19:17:35|const.py|自律 开始
19:17:36|const.py|船坞已满判断 开始
19:17:48|util.py|findPicLoop 循环找图开始 ./public/bmp/S.bmp
19:18:20|util.py|findPicLoop 循环找图结束 ./public/bmp/S.bmp
19:18:20|const.py|自律 结束
19:18:21|util.py|click 181 426
19:18:23|util.py|click 684 308
19:18:25|const.py|打捞到sr或ssr判断 开始
19:18:26|util.py|click 684 308
19:18:27|util.py|findPicLoop 循环找图开始 ./public/bmp/exp2.bmp
19:18:28|util.py|findPicLoop 循环找图结束 ./public/bmp/exp2.bmp
19:18:28|util.py|click 733 445
